web-scraper-order,web-scraper-start-url,Title,Study Code,Lead Researcher,Study type,Institution or Company,Speciality area,Summary
1616638079-2787,https://bioresource.nihr.ac.uk/studies/?page=10#articles,Evaluation of the immune response to vaccines in patients previously infected with COVID-19 : COV-VAX-IR,"Study code
NBR100","Lead researcher
Dr Anita Chandra","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638077-2786,https://bioresource.nihr.ac.uk/studies/?page=10#articles,COVID-19 IDentification of Epitopes and Antibodies (COVID-IDEA),"Study code
NBR102","Lead researcher
Professor Andrew Cope","Study type
Participant re-contact","Institution or company
King's College London","Speciality area
Infection",coming soon
1616638092-2793,https://bioresource.nihr.ac.uk/studies/?page=10#articles,How does the severe critical illness driven by COVID19 encode its long-term effects?,"Study code
NBR88","Lead researcher
Dr Alasdair Jubb","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638075-2785,https://bioresource.nihr.ac.uk/studies/?page=10#articles,INSIGHT: a scalable isothermal NASBA-based platform for COVID-19 diagnosis,"Study code
NBR103","Lead researcher
Dr Sarah Teichmann","Study type
Samples and data","Institution or company
Sanger Institute","Speciality area
Infection",coming soon
1616638081-2788,https://bioresource.nihr.ac.uk/studies/?page=10#articles,COVID-19 Immune Phenotyping Programme (CIPP) and COVID National BioResource.,"Study code
NBR99","Lead researcher
Professor Ken Smith","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638083-2789,https://bioresource.nihr.ac.uk/studies/?page=10#articles,Determining and mapping out the medium to long term sequelae of COVID-19 and identify factors that account for different disease outcomes,"Study code
NBR97","Lead researcher
Dr Nyarie Sithole","Study type
Data only","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",coming soon
1616638090-2792,https://bioresource.nihr.ac.uk/studies/?page=10#articles,Developing array typing of blood cell antigens for clinical care,"Study code
NBR89","Lead researcher
Professor Emanuele Di Angelantonio","Study type
Participant re-contact","Institution or company
NHSBT (Cambridge)","Speciality area
Haematology",coming soon
1616638085-2790,https://bioresource.nihr.ac.uk/studies/?page=10#articles,Neutrophil reprogramming in COVID-19,"Study code
NBR95","Lead researcher
Dr James Nathan","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Infection",coming soon
1616638056-2777,https://bioresource.nihr.ac.uk/studies/?page=11#articles,Testing biotx.ai's AI for wide data in Rare Diseases,"Study code
DAA035","Lead researcher
Marco Schmidt","Study type
Data only","Institution or company
biotx.ai GmbH","Speciality area
Genomics and Rare Diseases","biotx.ai has developed a novel genome analysis tool specifically designed for the analysis of high-dimensional, so-called ""wide"", data.  This may allow more insights from genetically complex diseases.  For example. we applied our method before to find genes causing Familial Hypercholesterolemia (FH) datasets with less than 300 cases.  FH is a genetic disorder that leads to high blood blood cholesterol levels, eventually to heart attacks in young age and, from there, to a reduced life expectancy.  FH is caused by not a single gene, but by several genes in a complex interaction.  Our rationale with the NIHR BioResource Data is to re-apply our approach for the most high-dimensional data Rare diseases.  Finally, our aim is to investigate how small datasets can be that we can analyse with our approach.  In the long term we hope to provide better diagnostics for Rare Diseases."
1616638060-2779,https://bioresource.nihr.ac.uk/studies/?page=11#articles,BRIDGE- EDS (Ehlers-Danlos Syndrome),"Study code
DAA033","Lead researcher
Heather Cordell","Study type
Data only","Institution or company
Newcastle University","Speciality area
Genomics and Rare Diseases","Ehlers-Danlos Syndrome (EDS) is a rare Mendelian disorder of the connective tissue which remain largely uncharacterised genetically. We have a large existing collection of cases, covering the whole spectrum of the syndrome. Using target enrichment and next-generation sequencing (NGS), we have already screened these samples for those variants know to be associated with the condition, however, the majority (>70%) remain unclassified. This project proposed that cases without a present molecular diagnosis should be further characterised by exome sequencing. The work stands to redefine the molecular genetic architecture of the condition, potentially identifying n ew susceptibility genes and thereby increasing the proportion of patients to whom a molecular genetic diagnosis can be attributed. Around 180 exomes have been sequenced from previously uncharacterised patients with EDS and the exomes have now undergone full analysis of variants in known and candidate EDS genes by the study team including Aitman, Weerakkody, Vandrovcova and Vandersteen. Some of the original data from whole genome sequencing from separate patients in the EDS cohort have already been published in the flagship BRIDGE publication. We now request permission to carry out a full burden analysis on the exome sequence data in collaboration with Professor Cordell of the University of Newcastle. The new work will be used to estimate the effects of SNPs within known and suspected EDS genes for a further publication."
1616638053-2776,https://bioresource.nihr.ac.uk/studies/?page=11#articles,Investigating polygenic risk for immune-mediated disease in a sporadic primary immunodeficiency cohort.,"Study code
DAA036","Lead researcher
Hannah Huang","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","We recently carried out a genetic study of antibody deficiency associated primary immune deficiency (AD-PID), that supported previous evidence for a role for common genetic variants in modulating disease risk. Across the whole genome we found that these common variants overlapped with other immune-mediated diseases (IMD) more than we would expect by chance. Building on these observations this project will examine whether polygenic risk scores of IMD are useful in gaining a further understanding of the genetic architecture of PID, as this might shed light on underlying disease pathogenesis."
1616638062-2780,https://bioresource.nihr.ac.uk/studies/?page=11#articles,CGG trinucleotide short-tandem repeats in unexplained  intellectual disability,"Study code
DAA031","Lead researcher
Dale Annear","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases",Coming soon
1616638064-2781,https://bioresource.nihr.ac.uk/studies/?page=11#articles,Streamlining ethnicity/relatedness code,"Study code
DAA030","Lead researcher
Rachel Ong","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases",To evaluate the clinical consequences of carriage of rare variants in aortopathy
1616638058-2778,https://bioresource.nihr.ac.uk/studies/?page=11#articles,Genetic Links to Anxiety and Depression (GLAD) Study,"Study code
DAA034","Lead researcher
Gerome Breen","Study type
Data only","Institution or company
King’s College London","Speciality area
Genomics and Rare Diseases, Mental Health","Anxiety and depression are the most common mental health conditions in the UK; 1 in 3 people will experience symptoms during their lifetime. Access to psychological therapies and drug treatments such as anti-depressants is increasing, but only half of people respond well to existing treatment options. For the thousands who remain unwell, these conditions may worsen over time and can lead to relationship and employment problems, a poor quality of life and even suicide. Research has shown 30-40% of the risk for both depression and anxiety is genetic and 60-70% due to environmental factors. Only by having a large, diverse group of people available for future studies will researchers be able to determine how genetic and environmental triggers interact to cause anxiety and depression and how to develop more effective treatments. The National Institute for Health Research (NIHR) BioResource and King’s College London are recruiting 40,000 people with depression or anxiety to join the online Genetic Links to Anxiety and Depression (GLAD) Study, funded by the NIHR. We are establishing the largest ever database of volunteers willing to take part in pioneering research to explore the genetic links to anxiety and depression. This is a recontactable resource that will inevitably lead to advances in mental health."
1616638068-2783,https://bioresource.nihr.ac.uk/studies/?page=11#articles,Neurological complications of COVID-19 (NeuroCOVID),"Study code
NBR109","Lead researcher
Professor David Menon","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection, Neurological Disorders",coming soon
1616638070-2784,https://bioresource.nihr.ac.uk/studies/?page=11#articles,COVID-19 Immune Phenotyping Programme (CIPP) and COVID National BioResource.,"Study code
NBR105","Lead researcher
Professor Christoph Hess","Study type
Samples and data","Institution or company
Cambridge Institute for Therapeutic Immunology and Infectious Disease","Speciality area
Infection",coming soon
1616638066-2782,https://bioresource.nihr.ac.uk/studies/?page=11#articles,"To access and provide NIHR BioResource Rare Disease Genomes across all eligible disorders within the Genomics England Research Environment as an anonymised dataset alongside the 100,000 Genomes Project main programme data","Study code
DAA026","Lead researcher
Mark Caulfield","Study type
Data only","Institution or company
Genomics England Ltd","Speciality area
Genomics and Rare Diseases","We are seeking access to the Human Phenotype Ontology (HPO) terms of most of the 13,027 NIHR BioResource participants with whole genome sequence (WGS) data, which have been enrolled in the rare diseases Pilot I study for the 100,000 Genomes Project. We do not seek access to data from:"
1616638034-2768,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Assessment of efficacy and adverse events following SARS-CoV-2 cohort of subjects previously infected with COVID-19,"Study code
NBR112","Lead researcher
Dr James Thaventhiran","Study type
Participant re-contact","Institution or company
MRC","Speciality area
Infection",Currently it is unclear if existing COVID-19 immunity generated by prior exposure increases the chance of adverse reactions COVID-19 vaccination or a blunting of vaccine efficacy. We are in a unique position to assess this as we have recently collected blood samples from a cohort of subjects that will be imminently offered the vaccine. We will quantitatively measure adaptive immunity prior to vaccination in these subjects and assess the correlation of this with either vaccine adverse effects or vaccine efficacy.
1616638043-2772,https://bioresource.nihr.ac.uk/studies/?page=12#articles,The role of mitochondrial DNA variants in common disease,"Study code
DAA043","Lead researcher
Patrick Chinnery","Study type
Data only","Institution or company
University of Cambridge, Department of Clinical Neurosciences","Speciality area
Genomics and Rare Diseases",Coming soon
1616638038-2770,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Neurological complications of COVID-19 (NeuroCOVID)_CONTROLS,"Study code
NBR110","Lead researcher
Professor David Menon","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection, Neurological Disorders","COVID-19 patients frequently suffer neurological problems including stroke, brain inflammation, or abnormal function of peripheral nerves. Other subjects have more subtle problems such as “brain fog”, problems with thinking and memory, or excessive fatigue.  We do not understand how frequently this occurs, which patients are more at risk of such symptoms, and what mechanisms are responsible.  Research in this area will enable us to understand which mechanisms in different patients, and allow us to use rational approaches to design, select and test appropriate therapies."
1616638049-2775,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Can Covid-19 outcome be revealed by single cell analysis?,"Study code
DAA039","Lead researcher
Paul Lyons","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Infection","COVID-19, caused by SARS-CoV-2, has killed over 100,000 people and will last for months or years. Pandemic control will rely on definitive therapies or vaccines built on an increased understanding of SARS-CoV-2 and its immune response. We will address this by deep analysis of patients with mild or severe COVID-19. The NBR Covid-19 cohort has recruited close to 200 COVID-19 patients with a range of severities. Preliminary immune phenotyping shows profound abnormalities in patients with severe disease, indicating the more detailed analysis possible using single-cell sequencing techniques will shed light on what pathways drive transition from the early viral clearance stage to the extreme immune-driven phase causing respiratory failure and mortality."
1616638036-2769,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Our Future Health (Previously Accelerating Detection of Disease),"Study code
NBR111","Lead researcher
Dr Andrew Roddam","Study type
Participant re-contact","Institution or company
Our Future Health (charity)","Speciality area
Public Health and Prevention, Cross-cutting","Today, too many people in the UK and around the world spend many years of their later lives in poor health. The aim of this project is to help future generations live in good health for longer. By bringing together data about millions of people in the UK, this research programme will help researchers better understand human health and enable them to develop new ways to anticipate, prevent, detect and treat diseases earlier than is currently possible.  The project is looking to recruit 5 million people aged over 30 from across the UK to take part by providing a blood or saliva sample, access to information from healthcare records, and data obtained from self-completed questionnaires. By sharing this information, it will help researchers better understand diseases such as dementia, cancer, diabetes, heart disease and stroke. In addition, they will have the option of receiving personal information about their own health. Our Future Health is a charity created to run the programme. It is supported by the UK Government in partnership with the NHS, medical research charities and industry."
1616638045-2773,https://bioresource.nihr.ac.uk/studies/?page=12#articles,IBD drug therapies and COVID-19,"Study code
DAA042","Lead researcher
Nick Kennedy","Study type
Data only","Institution or company
Cambridge University Hospitals NHS Foundation Trust","Speciality area
Gastroenterology, Infection",Coming soon
1616638047-2774,https://bioresource.nihr.ac.uk/studies/?page=12#articles,EpiCov,"Study code
DAA040","Lead researcher
Willem Ouwehand","Study type
Data only","Institution or company
Cambridge University Hospitals NHS Foundation Trust","Speciality area
Infection","COVID-19 is a novel infectious disease caused by a virus related to those which caused previous outbreaks of SARS and MERs. Most infected people have no or only mild symptoms, but a significant fraction suffer from severe lung and breathing symptoms or other severe health problems which need to be treated in hospital. These patients must stay in COVID-19 specific wards to prevent them from infecting other patients. Measurements from some standard blood tests frequently performed in NHS hospitals have been shown to contain information which may be useful to distinguish between patients with COVID-19 and patients with diseases with similar symptoms. Standard tests also seem to contain information that is useful for predicting the course of the disease in COVID-19 infected patients. We have developed an algorithm that attempts to use these standard hospital tests and medical records to:"
1616638032-2767,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Serological mechanisms underlying cardiotoxicity in COVID-19,"Study code
NBR113","Lead researcher
Dr. Sanjay Sinha","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Cardiovascular Disease, Infection","With global COVID-19 cases rising and a further projected increase for the months to come therapeutic strategies to combat the disease are urgently needed. Despite the likely approval of a small number of COVID-19 vaccines, the NHS will inevitably need to cope with large numbers of COVID-19 patients over many months, as a broad rollout of national vaccine programs will take a considerable amount of time and uptake and effectiveness are unlikely to reach 100%.  Heart complications occur in up to 30% of COVID-19 critically ill patients and therefore hospitals will continue to treat these patients for which no satisfactory therapy exists. The cause of the heart damage remains poorly understood. One idea is that the inflammation following infection by SARS-CoV2 (the virus causing COVID-19) might be causing the heart damage. Our project will use the serum (fluid part of the blood) collected from COVID-19 patients to see whether this damages heart cells that we generate from stem cells in a tissue culture dish. We think that cytokines (the proteins that cause the inflammatory process) in the serum of these patients might cause heart muscle damage or interfere with their beating. These experiments will identify the specific cytokines or combination of cytokines that might be responsible for the heart injury. We can then identify drugs that can be employed to block the damaging cytokines to ultimately prevent or ameliorate heart damage. Furthermore, the results will be useful to predict which COVID-19 patients will be more likely to develop heart complication and will ultimately result in reduced disability and death from heart problems."
1616638040-2771,https://bioresource.nihr.ac.uk/studies/?page=12#articles,Gene discovery for cardiomyopathies,"Study code
DAA050","Lead researcher
Dhandapany Perundurai","Study type
Data only","Institution or company
Institute for Stem Cell Science and Regenerative Medicine (inStem), Bangalore, India","Speciality area
Genomics and Rare Diseases",Coming soon
1616638019-2762,https://bioresource.nihr.ac.uk/studies/?page=13#articles,GlyHealth-COVID: A precision medicine test to identify ImmunoFrail patients at high risk of becoming severely ill or dying from COVID-19,"Study code
NBR92","Lead researcher
Dr Daniel Spencer","Study type
Participant re-contact","Institution or company
Ludger Ltd. Oxford","Speciality area
Infection",This project is to speed the develpment of a prototype called GlyHealth-COVID.   This is a medical technology we are designing to identify immunofrai individuals who are at high risk of becoming severely ill or dying from COVID-19.
1616638028-2766,https://bioresource.nihr.ac.uk/studies/?page=13#articles,Immune responses in convalescent Asymptomatic and Symptomatic COVID19 individuals,"Study code
NBR114","Lead researcher
Dr Mark Wills","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection","A critical gap in knowledge is our understanding of the immune responses in asymptomatic COVID-19 positive individuals.  The University of Cambridge has an extensive asymptomatic testing programme of the student population this approach has also been adopted by Universities of Nottingham and Cardiff. This is a unique opportunity to study the immunology of asymptomatic (ASI) v symptomatic (SSI) individuals by recruiting people via the COVID19 testing pods into this research project. In the first phase of the project we aim to recruit up to 600 volunteers and collect blood and saliva samples from both asymptomatic and symptomatic individuals.  This will take place from January 2021 Until March 2021 when students return to campus; a key period in the pandemic likely to be associated with the third peak of disease and will provide a baseline data set on which to build a longitudinal study.  We will undertake a longitudinal study following a set of these individuals enabling us to examine the kinetics of both antibody immune responses T cell memory and function.  In addition, during the period of the research COVID19 vaccination may become widely available, enabling additional comprehensive analysis of immune responses both pre- and post- vaccination.  This combination of examining both antibody and T cell immunity will provide insight into the role of the immune system in driving pathology and protection."
1616638021-2763,https://bioresource.nihr.ac.uk/studies/?page=13#articles,NEW UK VARIANT AND EVALUATION OF ANTIBODY ESCAPE,"Study code
NBR118","Lead researcher
Ravi Gupta","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Infection",coming soon
1616638025-2765,https://bioresource.nihr.ac.uk/studies/?page=13#articles,Cardiopulmonary exercise testing following COVID-19 infection,"Study code
NBR115","Lead researcher
Dr Jonathan Fuld","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection","We wish to invite individuals to undertake cardiopulmonary exercise testing (CPET) to provide insight into the integrity of the pulmonary-vascular interface and characterise any impairment or abnormal cardiorespiratory function following infection from COVID-19.  A proportion of BioResource patients are being co-recruited into the national PHOSP-COVID study. Combined these allow for rich phenotyping of a cohort of individuals who are recovering from COVID disease.  CPET is a well-validated test that provides an objective assessment of cardiorespiratory response to incremental exercise, which allows clinicians to determine cardiorespiratory fitness and identify reasons for physical impairment. Many patients admitted to hospital with severe acute respiratory syndrome experience significant exercise limitation in the months following hospital discharge. In these patients, CPET has been used to characterise the physiological mechanisms underlying their exercise limitation. It is hypothesised that CPET may provide similar insights into the mechanisms underlying persisting functional limitation following COVID-19 infection, provide diagnostic and prognostic indicators and potentially help guide the development support strategies for those with long-term disability and to assess the efficacy of developed interventions. Each recruited patient will perform a single exercise test on a cycle ergometer following a ramp protocol designed to last around 8-10 minutes in duration. A blood test will be performed at the end of the test (ammonia, lactate,CK)."
1616638023-2764,https://bioresource.nihr.ac.uk/studies/?page=13#articles,The Multi-modality Imaging & Immunophenotyping of COVID-19 Related Myocardial Injury (MIIC-MI) study,"Study code
NBR116","Lead researcher
Dr Jason Tarkin","Study type
Participant re-contact","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Cardiovascular Disease, Infection","In some patients, COVID-19 can affect the heart. Exactly how the virus does this is not known. We are conducting a study to examine the potential causes. In this study, we are inviting participants with a history of COVID-19 infection who have an abnormal blood test that may indicate a degree of heart damage, or new onset heart failure, to undergo detailed imaging and blood tests. These tests will confirm the nature of any heart damage if present, and lead to a better understanding of the underlying causes. Ultimately, the findings of this study could be used to help guide treatment in other patients with COVID-19 in the future"
1616638246-2857,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Progressing from genetics to function and clinical translation in Crohn’s disease & ulcerative colitis,"Study code
NBR11","Lead researcher
Dr Miles Parkes","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Gastroenterology, Genomics and Rare Diseases","The UK IBD Genetics Consortium and IBD BioResource work together closely. This research is part of a reciprocal arrangement between both. GWAS and phenotype data will be used in ongoing genetic analyses, for example to define causal variants and look at low-frequency and rare variants."
1616638248-2858,https://bioresource.nihr.ac.uk/studies/?page=2#articles,ApoE and gender: Investigation of short-term memory using the Oxford Memory Task app,"Study code
NBR10","Lead researcher
Prof. Masoud Husain","Study type
Participant re-contact","Institution or company
University of Oxford","Speciality area
Neurological Disorders, Ageing",We are interested in attention and short-term memory in health and disease. This study looks at variation in the ApoE and gender when participants complete online memory tests.
1616638263-2865,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Metabolon – Mapping metabolites to their key biochemical pathways,"Study code
NBR03","Lead researcher
Prof. John Bradley","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","Metabolomics is the study of small molecules and an integral technology for understanding the function of biological systems. It is the systematic measurement and biological interpretation of the low molecular weight (~50-1,500 Da) biochemicals or “metabolites” within a biological sample. Surveying these small molecules allows for better understanding of biological mechanisms, thereby creating a more complete picture of the phenotype (the observable characteristics of a living system)."
1616638261-2864,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Investigating changes in memory and attention associated with ageing,"Study code
NBR05 / CBR152","Lead researcher
Prof. Anne Nobre","Study type
Participant re-contact","Institution or company
University of Oxford","Speciality area
Neurological Disorders, Ageing","The purpose of our research is to understand how the Apolipoprotein E gene (APOE) affects cognitive processes, such as memory and attention, specifically across ageing. Two groups of participants (one age range 18-35 the other age range 60-80 years) will perform simple computer-based tasks of short-term memory. More specifically, participants will be invited in to a designated location where they will be presented with a touch screen computer game and asked to remember the location and identity of objects. Following a delay, participants first have to identify the item they held in memory and then drag it to its remembered location.  The whole task will last about 2 hours."
1616638253-2860,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Defining the mechanisms and control of human regulatory T cell function in autoimmunity,"Study code
NBR08","Lead researcher
Prof. Graham Lord","Study type
Participant re-contact","Institution or company
King’s College London","Speciality area
Infection, Metabolic and Endocrine Disorders, Gastroenterology","We still lack a detailed understanding of how the immune system is regulated in the healthy human, and how dysregulation contributes to disease. Specifically, we need to understand how regulatory T cells (Tregs) control other immune pathways, how and where Tregs act and interact with other immune and inflammatory components, and how this understanding might be harnessed to treat autoimmune disease. This research will help move us forward in this field."
1616638255-2861,https://bioresource.nihr.ac.uk/studies/?page=2#articles,Validation of genome-wide and targeted genotyping arrays to enable the ascertainment of blood groups of man to a clinical standard,"Study code
NBR07","Lead researcher
Prof. Willem Ouwehand","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Haematology",Over 1000 DNA variants have been identified underlying the clinically relevant blood groups of people. The aim of the project is to find out whether blood groups can be determined equally well at the level of the DNA (genotyping) as by agglutination of red blood cells (phenotyping). This study is important to improve the level of matching for rare blood groups in patients who require frequent and sometimes lifelong transfusion support.
