web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,Title,Name,Project Type,Committee Approval Decision Date,References,Lay Summary
1616688490-34905,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=21&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,CRIS work to support the KConnect H2020 project,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=880,CRIS work to support the KConnect H2020 project,Robert Stewart,Research,01-Oct-15,References :,"The aim is to apply an electronic 'knowledge base' in CRIS which will identify physical symptoms and health conditions in text fields (e.g. case notes and correspondence). The system will then use existing CRIS data on medications and information from medical literature on known side-effects, and will then ultimately support an early warning system for clinical staff which will identify whether a particular symptom might be a side-effect of current treatment."
1616688871-35055,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=6&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Improving the safety of prescribing in dementia- Clinical validation of the AEC scale,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1289,Improving the safety of prescribing in dementia- Clinical validation of the AEC scale,Delia Bishara,Research,22-Oct-18,References :,"Anticholinergic drugs can increase the risk of cognitive decline, dementia and death in older adults and their use should be limited in this group of patients where possible. The Anticholinergic Effect on Cognition (AEC) scale has been developed in order to rank drugs by the extent of their anticholinergic effects on cognition; and by clinically validating this tool, its use should improve the safety of prescribing in dementia and thus improve health outcomes for patients."
1616688309-34833,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=28&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Seclusion and Psychiatric Intensive Care Evaluation Study (SPICES),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=667,Seclusion and Psychiatric Intensive Care Evaluation Study (SPICES),Alexis Cullen,Research,02-Apr-14,References :,"This study aims to evaluate the extent to which (i) transfer to psychiatric intensive care units (PICUs) and (ii) receipt of seclusion are associated with a reduction in the behaviours they aim to target (e.g., aggression and?absconsion) and to evaluate the costs and cost-effectiveness of both interventions."
1616688953-35088,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=3&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Exploring the linkage between UK census and CRIS,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1370,Exploring the linkage between UK census and CRIS,Jayati Das-Munshi,Research,20-Jun-19,References :,Errors in matching in data linkages may cause bias in the research being conducted using the linked data. We will explore missed matches and false match errors in the CRIS-Census linkage.
1616688272-34819,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=30&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,A Comparison of Care Received by Young Patients with Psychosis from Child and Adolescent Mental Health Service (CAMHS) and Adult Mental Health Services (AMHS),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=642,A Comparison of Care Received by Young Patients with Psychosis from Child and Adolescent Mental Health Service (CAMHS) and Adult Mental Health Services (AMHS),Leonardo Koeser,Research,20-Dec-13,References :,"This study aims to examine the implications of initiating treatment for psychosis below the cut-off age for CAMHS in terms of clinical and economic outcomes (including use of medication), and to investigate the changes in service use (including use of medication) and clinical indicators as a result of the transition between CAMHS and AMHS."
1616688020-34720,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=40&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Ascertaining the Costs of Cognitive and Behavioural Profiles in Alzheimer’s Disease,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=452,Ascertaining the Costs of Cognitive and Behavioural Profiles in Alzheimer’s Disease,Robert Stewart,Research,22-Feb-11,References :,This project seeks to provide data on economic costs associated with different stages and symptom profiles in dementia.
1616688867-35053,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=6&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Advantages of specialized care for treatment-resistant psychosis: two year mirror-image study of National Psychosis Unit patients,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1285,Advantages of specialized care for treatment-resistant psychosis: two year mirror-image study of National Psychosis Unit patients,Cecilia Casetta,Research,22-Oct-18,References :,"The National Psychosis Unit (NPU) at Bethlem Hospital in London is a highly specialized service where patients with treatment-resistant psychotic disorders are referred from across the country. It is still argued whether centres of expertise like the NPU can be useful long-term. Using CRIS, we will compare disease severity measures before and after an admission to the NPU for all patients who have been treated there between 2007 and 20015."
1616688304-34831,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=28&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Physical Ill Health in Forensic Patients: The Compounding Influence of Personality Disorder and Severe Mental Illness,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=664,Physical Ill Health in Forensic Patients: The Compounding Influence of Personality Disorder and Severe Mental Illness,Harry Horgan,Research,10-Jun-14,References :,To determine whether physical ill health among forensic patients is compounded by comorbid Personality Disorder and Severe Mental Illness diagnoses
1616688588-34944,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=17&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The use of Community Treatment Orders in psychosis and associated patient outcomes,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=942,The use of Community Treatment Orders in psychosis and associated patient outcomes,Wikus Barkhuizen,Research,12-May-16,References :,"The aims of the study are to: (i) describe the use of Community Treatment Orders (CTOs) in real clinical settings, (ii) compare the clinical outcomes of those discharged on a CTO to those discharged without a CTO, and (ii) to identify the clinical features of those who achieve improvement and those who do not following discharge on a CTO."
1616688316-34836,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=28&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Development of a Preference Based Outcome Measure for Use in Economic Evaluations of Mental Health,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=676,Development of a Preference Based Outcome Measure for Use in Economic Evaluations of Mental Health,Wayne Smith,Research,15-May-14,References :,"This study aims to explore the mathematical relationship between the HoNOS and the EQ-5D by multivariate analysis
to create a shortened version of the HoNOS which can be used in economic evaluations in the area of psychosis."
1616688432-34883,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=23&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Effect of Economic Hardship on Mental Health Service Use: Exploiting Longitudinal and Small Area Data,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=814,Effect of Economic Hardship on Mental Health Service Use: Exploiting Longitudinal and Small Area Data,Steven Kiddle,Research,23-Mar-15,References :,This project will study which mental health conditions are most affected by recession and borough- and neighbourhood-level unemployment.
1616688551-34930,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=19&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,ADHD Treatment Response at School,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=922,ADHD Treatment Response at School,Sean Maskey,Research,03-Mar-16,References :,"Attention Deficit Hyperactivity Disorder (ADHD) is a common condition in childhood and causes significant difficulties for a child at home, at school and in other settings. This study will investigate if there are any differences at school between children with and without ADHD  and the impact of medication on pupils’ performance."
1616688526-34920,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=20&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Dissociative seizures and caregivers,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=902,Dissociative seizures and caregivers,Peter Nussbaum,Research,03-Dec-15,References :,The aim of this study is to investigate the association between having a caregiving role and dissociative disorder.
1616688115-34756,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=36&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Do Black and Minority Ethnic Service Users Experience Inequalities in Service Use and Health Outcomes? Analysis of a Secondary Mental Health Care Case Register,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=512,Do Black and Minority Ethnic Service Users Experience Inequalities in Service Use and Health Outcomes? Analysis of a Secondary Mental Health Care Case Register,Jay Das-Mushi,Research,17-Jun-13,"References :
                            https://kclpure.kcl.ac.uk/portal/en/publications/ethnicity-and-excess-mortality-in-severe-mental-illness(ebe72be8-b793-47ac-8d49-e694b9822af7).html","This feasibility study will assess if black and minority ethnic service users with severe and enduring mental disorders are more likely to be prescribed psychotropic medication and/or experience adverse physical health outcomes relative to service users with equivalent diagnoses who self-identify as ‘white British’, and will assess ethnic group differences in cause of death."
1616689007-35110,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=1&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Health outcomes for patients with depression following vascular surgery,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1443,Health outcomes for patients with depression following vascular surgery,Sajini Kuruppu,Research,17-Dec-19,References :,"There is variation in health outcomes including hospital length of stay, hospital readmissions and survival among vascular surgical patients with and without depression. This project aims to identify mortality rates, length of stay and hospital readmission rates among patients with depression following vascular surgery who had contact with SLaM and patients without depression  living in the same areas of south London."
1616688460-34894,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=22&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Which factors predict attendance of screening calls in the Southwark IAPT service?,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=856,Which factors predict attendance of screening calls in the Southwark IAPT service?,Frances Meeten,Research,22-Jul-15,References :,"We propose to use the IAPTus database to examine what factors (e.g. time of day of call, time between referral received and appointment, referral route, use of webforms, gender, age etc.) contribute to people not attending their pre-arranged screening calls in the Southwark IAPT service."
1616688242-34807,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=31&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Functional and Economic Impact of Negative Symptoms and Impaired Cognition in Schizophrenia:  A Retrospective Study,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=625,Functional and Economic Impact of Negative Symptoms and Impaired Cognition in Schizophrenia:  A Retrospective Study,Aurora Falcone,Research,08-Jan-14,References :,"This study aims to determine the prevalence of cognitive impairments and negative symptoms when patients first present with schizophrenia, and at 12-month follow-up, to characterise the relationship between these features and functional deficits at baseline and at 12-month follow up, to assess the extent to which the severity of cognitive impairments and negative symptoms at presentation predict functional disability at 12-months, and to estimate the economic cost of the functional disability associated with cognitive impairments and negative symptoms."
