web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616726818-2762,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=3,B3667 - Predicting pubertal timing in boys and girls using clinical data and polygenic risk scores - 02/12/2020,https://proposals.epi.bristol.ac.uk/?q=node/130256,B3667 - Predicting pubertal timing in boys and girls using clinical data and polygenic risk scores - 02/12/2020,B3667,"Despoina Manousaki | Research Center of the CHU Sainte Justine, University of Montreal (Canada)","Nahid Yazdan Panah, Mojgan Yazdan Panah, Nicholas Timpson, Ken Ong, John Perry, Brent Richards",Predicting pubertal timing in boys and girls using clinical data and polygenic risk scores,"Children with precocious puberty are defined as girls with breast development before age 8 years and boys with testicular enlargement before age 9 years (which corresponds to minus 2 standard deviations (SD) compared to the average age of these changes in both sexes). Earlier age at pubertal start has been associated with earlier age at first vaginal bleeding (menarche) in girls and earlier age at voice change in boys, and with long-term consequences, including shorter adult height and psychosocial adverse effects. Although more frequent in certain ethnicities, the prevalence of precocious puberty in girls is constantly increasing worldwide, following the increase in cases of pediatric obesity. Most children with precocious puberty do not present any endocrine, metabolic, neurologic or neurosurgical condition explaining their earlier pubertal start (these cases are defined as “idiopathic” precocious puberty), but extensive work up  (including specific hormone measurements and radiological exams) is routinely performed to eliminate such conditions. An important portion of children with precocious puberty will be considered for treatment with puberty-blocking pharmacological agents, without clear evidence that these treatments will increase their adult height.

Late puberty is defined as an absence of breast development by age 13 in girls (or absence of menarche by age 15), and an absence of testicular enlargement before age 14 in boys. This phenomenon is more frequent in boys, in most of which no pathological cause is detected, and these children will end up developing a spontaneous puberty and achieve a normal adult height. Nonetheless, these children are often referred for endocrine evaluation and investigated to eliminate an underlying medical condition.

Given that age at pubertal start in the population follows a Gaussian distribution, 2.3% of normal healthy children will start their puberty at and age below 2 SD below the mean for each sex, and another 2.3% will start their puberty above 2SD above this mean. Defining which children with precocious or late puberty correspond to these 2.3% of the general population is important, since this would avoid unnecessary investigations and treatment in these patients.

Pubertal traits (age at breast development and menarche in girls,  testicular enlargement and voice change in boys, age at pubertal growth spurt in both sexes),  have a polygenic nature, and an overlapping genetic architecture in boys and girls. It has been estimated that about 50% of variation in age at menarche can be attributed to genetics. Polygenic risk scores (PRS) have been demonstrated to have an improving ability to identify individuals at significantly high/low predisposition towards complex diseases. Therefore, it has become possible to identify individuals who will lie at the extreme distribution of a trait, such as age at menarche in girls or age at voice change in boys.

Therefore, we posit that PRS for age at menarche in girls or age at voice change in boys, in combination with clinical risk factors (such as increased body mass index) may be able to effectively predict children diagnosed as having idiopathic precocious puberty and in which no further investigation or treatment would be required to achieve a normal adult height (within their parental target height). Also, the same scores could identify children in the opposite extreme of the normal distribution, ie children with late puberty.","Our study can potentially stratify for risk of IPP or late puberty among children, based on a score derivable at no risk and low cost. Such a stratification is likely to substantially reduce the socioeconomic burden on many families whose children have IPP or late puberty while optimizing allocation of medical resources. Our study may also illustrate whether the genetic factors captured by the PRS are constantly associated with pubertal development stages since early childhood, or when they start to become associated. Finally, by objectifying the portion of the variance in pubertal traits explained by genetic factors, we will draw interesting conclusions on the “nature vs nurture” of precocious puberty- since it is has been shown that lower socio-economic status and exposure to environmental chemicals predispose to earlier pubertal start. This is likely to shed new light upon investigations on puberty, growth and development.","Friday, 27 November, 2020","Wednesday, 2 December, 2020",Genetic epidemiology (including association studies and mendelian randomisation)
1616722924-1241,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=81,B1458 - RNA-Seq Deep Sequencing and In Vivo Chromatin Studies Identifying Functional Elements Relevant to Reading and Language - 25/10/2012,https://proposals.epi.bristol.ac.uk/?q=node/126177,B1458 - RNA-Seq Deep Sequencing and In Vivo Chromatin Studies Identifying Functional Elements Relevant to Reading and Language - 25/10/2012,B1458,"Prof Jeffrey  Gruen (Yale University, USA)","Dr Natalie  Powers (Yale University, USA), Dr John  Eicher (Yale University, USA)","RNA-Seq, Deep Sequencing, and In Vivo Chromatin Studies Identifying Functional Elements Relevant to Reading and Language.",Aims and Hypotheses,null,"Thursday, 25 October, 2012","Thursday, 25 October, 2012","Genetics, Speech and Language, Speech & Language"
1616725459-2227,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=30,B3059 - Genetic liability to cleft lip/palate and DNA methylation in the general population - 07/02/2018,https://proposals.epi.bristol.ac.uk/?q=node/127330,B3059 - Genetic liability to cleft lip/palate and DNA methylation in the general population - 07/02/2018,B3059,Gemma Sharp | MRC IEU (United Kingdom),Mr Laurence Howe,Genetic liability to cleft lip/palate and DNA methylation in the general population,"Cleft lip and/or palate (CL/P) is one of the most common birth defects, affecting around 1 in every 700 births.

DNA methylation appears to be associated with non-syndromic cleft lip and/or palate (CL/P), with three possible explanations: 1) DNA methylation causally affects CL/P, 2) CL/P causally affects DNA methylation, or 3) the association is confounded by genetic or environmental factors.

If DNA methylation is associated with genetic risk for CL/P in the general population, this would further suggest there is an association between CL/P and DNA methylation. This finding would have important implications for our understanding of the aetiology of CL/P.

We will assess whether genetic variants associated with CL/P are associated with variation in DNA methylation in the general population using ALSPAC.",null,"Thursday, 1 February, 2018","Wednesday, 7 February, 2018","Genetic epidemiology (including association studies and mendelian randomisation), Congenital abnormalities, Gene mapping, Birth outcomes, Epigenetics, Expression, Genetic epidemiology, Genetics, Mendelian randomisation"
1616725022-2055,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=39,B2857 - Risk factors for and outcomes of  adolescent psychopathology - 16/05/2017,https://proposals.epi.bristol.ac.uk/?q=node/127512,B2857 - Risk factors for and outcomes of  adolescent psychopathology - 16/05/2017,B2857,Gemma Lewis | University College London (United Kingdom),"Dr Francesca Solmi, Professor Glyn Lewis, Ms Jasmin Pink, Mr Yun Nam Yip, Ms Madeleine Irish , Ms Kate Harrison, Ms Yu Wei Chua, Ms Billie Randle, Ms Daniele Melamed, Ms Marina Mascarell",Risk factors for and outcomes of  adolescent psychopathology,"In this project, we will investigate social and genetic influences that place adolescents at increased risk of depression, self-harm, obsessive compulsive disorder (OCD), and eating disorders. The influences we will examine will include depression, anxiety and eating disorders in parents, adolescents' sexual orientation, their level of antisocial behaviour, infant colic and excessive crying, and the desire of adolescent boys to be muscular. We will also examine whether genetic influences on schizophrenia are also a risk factor for eating disorders.",null,"Monday, 6 March, 2017","Wednesday, 12 April, 2017","Epidemiology, Eating disorders - anorexia, bulimia, Mental health, Pregnancy - e.g. reproductive health, postnatal depression, birth outcomes, etc., Statistical methods, Cohort studies - attrition, bias, participant engagement, ethics, Offspring"
1616723875-1611,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=62,B2334 - Effect of Socioeconomic Depreciation on Child Development A Longitudinal Study - 20/11/2014,https://proposals.epi.bristol.ac.uk/?q=node/125792,B2334 - Effect of Socioeconomic Depreciation on Child Development A Longitudinal Study - 20/11/2014,B2334,"Seethalakshmi  Ramanathan (Hutchings Psychiatric Center, New York State Office of Mental Health, US)","Stephen v Faraone (SUNY Upstate Medical University, USA)",Effect of Socioeconomic Depreciation on Child Development: A Longitudinal Study,"Socioeconomic stability plays an important role in the normal development of a child. So, it is not surprising that adverse socioeconomic conditions arising from difficult financial circumstances have been associated with a number of mental health and cognitive problems. The motivation for the current line of thinking is a recent study published in JAMA: Psychiatry wherein we noted that macroeconomic shocks such as recessions can have long-term effects on the mental and emotional health of children between the ages of 0-18 months. Over the last two years, we have been expanding our work on the concept of socioeconomic depreciation (SED) or drop in family income. In this proposal, we will examine the mechanism behind the influence of SED on future behavior problems. Specifically, we are proposing that SED will affect attachment, which in turn will affect social development. Since attachment variables are not available in the ALSPAC data, ALSPAC will not be used to develop this particular hypothesis. However, ALSPAC will be used to explore the role of social development in future behavior problems. (Figure 1 available on request).",null,"Wednesday, 19 November, 2014","Thursday, 20 November, 2014","Development, GWAS"
1616720877-396,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=121,B448 - International growth reference for school-age children and adolescents - 08/01/2007,https://proposals.epi.bristol.ac.uk/?q=node/126999,B448 - International growth reference for school-age children and adolescents - 08/01/2007,B448,"Prof Jorg  Siekmann (German Research Centre for AI, Europe)",,International growth reference for school-age children and adolescents,No outline received,null,"Monday, 8 January, 2007","Monday, 8 January, 2007",
1616721960-869,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=100,B991 - Acoustic markers to recover the phenotype in residual speech errors A feasibility study - 18/04/2010,https://proposals.epi.bristol.ac.uk/?q=node/126553,B991 - Acoustic markers to recover the phenotype in residual speech errors A feasibility study - 18/04/2010,B991,"Yvonne  Wren (North Bristol NHS Trust, Bristol)","Prof Lawrence  Shriberg (University of Wisconsin-Madison, USA)",Acoustic markers to recover the phenotype in residual speech errors: A feasibility study.,Not available,null,"Sunday, 18 April, 2010","Sunday, 18 April, 2010",Speech & Language
1616721589-724,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=107,B798 - Understanding the lifestyle molecular and genetic pathways that link womens reproductive function to healthy ageing LINKED TO B1193 - 15/03/2009,https://proposals.epi.bristol.ac.uk/?q=node/126707,B798 - Understanding the lifestyle molecular and genetic pathways that link womens reproductive function to healthy ageing LINKED TO B1193 - 15/03/2009,B798,"Prof Debbie A Lawlor (University of Bristol, UK)","Prof Naveed  Sattar (University of Bristol, UK), Prof Scott  Nelson (University of Glasgow, UK), Prof Kate  Tilling (University of Bristol, UK), Dr Caroline  Relton (Newcastle University, UK), Dr Jon  Tobias (University of Bristol, UK), Prof George  Davey Smith (University of Bristol, UK)","Understanding the lifestyle, molecular and genetic pathways that link women?s reproductive function to healthy ageing (LINKED TO B1193).",Aims and objectives of the programme,null,"Sunday, 15 March, 2009","Sunday, 15 March, 2009",Epigenetics
1616719975-34,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=140,B3122 - Genome-wide analysis of selection and methylation  - 06/06/2018,https://proposals.epi.bristol.ac.uk/?q=node/129728,B3122 - Genome-wide analysis of selection and methylation  - 06/06/2018,B3122,Tom Gaunt | University of Bristol (United Kingdom),"Ms Charlie Hatcher, Dr Santi Rodgriguez",Genome-wide analysis of selection and methylation.,"Human evolution has been associated with drastic changes in environment and lifestyle over time, with each of these changes resulting in selective pressures (Voight et al., 2006).  Natural selection is the differential reproductive success of genetically distinct individuals or genotypes within a population. Strongly deleterious mutations will rapidly be eliminated from populations, whereas strongly positive mutations will quickly rise to fixation leading to changes in allele frequency over time. This process leaves signatures on the genome which can then be detected (Sabeti et al., 2006).","Generally, selection and methylation are assessed separately. We hope that analysing both concurrently will provide insight into the relationship between these two mechanisms and help us to better understand the impact of environmental exposures genome-wide.","Tuesday, 29 May, 2018",null,"Genetics, Gene mapping, Statistical methods, Epigenetics, Genetic epidemiology, Genetics, Genomics, Statistical methods"
1616726329-2570,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=13,B3462 - INFLUENCE OF EARLY-LIFE PET EXPOSURES ON THE RISK OF ALLERGIC SENSITISATION AND ASTHMA IN CHILDHOOD - 03/03/2020,https://proposals.epi.bristol.ac.uk/?q=node/130067,B3462 - INFLUENCE OF EARLY-LIFE PET EXPOSURES ON THE RISK OF ALLERGIC SENSITISATION AND ASTHMA IN CHILDHOOD - 03/03/2020,B3462,Angela Pinot de Moira  | University of Copenhagen  (Denmark ),,INFLUENCE OF EARLY-LIFE PET EXPOSURES ON THE RISK OF ALLERGIC SENSITISATION AND ASTHMA IN CHILDHOOD,"Studies investigating the influence of early-life pet exposures on the risk of childhood asthma have been inconsistent: some studies have observed a decreased risk whilst others have observed no effect or even an increased risk of asthma following early-life pet exposure. This study aims to use data from several longitudinal studies to investigate how exposure to pets during pregnancy or early-life influences the likelihood of: a) the immune system recognising allergens (allergic sensitisation); b) developing asthma. The study will also investigated the relative influence of type (dogs vs. cats), timing (pregnancy, early life, never) and degree (number) of pet exposures on allergic sensitisation and asthma.","Results will further our understanding of the aetiology of asthma, highlight possible intervention strategies to reduce asthma incidence and severity, and help create more  effective guidelines regarding animal exposures during pregnancy and early-life","Tuesday, 4 February, 2020","Wednesday, 5 February, 2020","Epidemiology, Respiratory - asthma, Statistical methods, Pets"
1616720377-195,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=131,B143 - A life course study on the cause of obesity and its co-morbidities OBESGEN - 01/01/2004,https://proposals.epi.bristol.ac.uk/?q=node/127221,B143 - A life course study on the cause of obesity and its co-morbidities OBESGEN - 01/01/2004,B143,"Mr Mike  Crawford (University of Bristol, UK)",,A life course study on the cause of obesity and its co-morbidities (OBESGEN).,(No outline received).,null,"Thursday, 1 January, 2004","Thursday, 1 January, 2004","Endocrine, Growth, Obesity, Weight"
1616725589-2278,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=27,B3149 - Amendment to STELAR Collaboration - Asthma Trajectories From Childhood to Adulthood - 01/08/2018,https://proposals.epi.bristol.ac.uk/?q=node/129763,B3149 - Amendment to STELAR Collaboration - Asthma Trajectories From Childhood to Adulthood - 01/08/2018,B3149,Graham Roberts | University Hospital Southampton NHSFT (UK),Dr Sam Hodgson,Amendment to STELAR Collaboration - Asthma Trajectories From Childhood to Adulthood,null,"This research will offer the most detailed description to date of patterns of asthma onset and remission over time in an observed birth cohort. By describing detailed trajectories of participants with similar patterns of asthma onset and remission, we may identify novel risk factors for specific asthma trends. We will aim to publish our findings in a high impact peer-reviewed journal.","Wednesday, 18 July, 2018","Wednesday, 1 August, 2018","Epidemiology, Respiratory - asthma, Computer simulations/modelling/algorithms, Development"
1616726264-2544,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=14,B3433 - Longitudinal association between sleep at age 3 and behavior and cognition from ages 4 to 6 years in Lifecycle cohorts - 28/01/2021,https://proposals.epi.bristol.ac.uk/?q=node/130294,B3433 - Longitudinal association between sleep at age 3 and behavior and cognition from ages 4 to 6 years in Lifecycle cohorts - 28/01/2021,B3433,Plancoulaine | INSERM (France),"Kathrin Gürlich, Reynaud Eve, PhD, Veit Grote, MD",Longitudinal association between sleep at age 3 and behavior and cognition from ages 4 to 6 years in Lifecycle cohorts,"Mental health problems in children are considered to be one of the biggest challenges of the current century. The onset of many behavioral and cognitive problems is found to be in childhood with trajectories into adulthood. There is a growing body of evidence that insufficient sleep and sleep difficulties are associated with an increased risk of behavioral problems and cognitive difficulties in school-aged children. Compared to the literature in school-aged children relating sleep to child behavior or cognition, little is known in preschoolers. in a systematic review, we showed that a longer sleep duration and a higher quality of sleep in preschoolers were associated with better behavioral and cognitive outcomes. However, small sample sizes and small number of publications limit the validity of the results. Furthermore, longitudinal studies are rare.","Very few studies with rather small sample sizes have previously examined the longitudinal association between sleep and behavior or cognition in preschool children as we recently reported in a systematic review. With combining the large amount of available data from six European birth cohorts in our analyses (with an individual meta-analysis using DataShield), we are using an innovative approach to fill knowledge gaps and bring new insight into this research field.","Monday, 16 December, 2019","Monday, 6 January, 2020","Epidemiology, Behaviour - e.g. antisocial behaviour, risk behaviour, etc., Statistical methods, Sleep"
1616723367-1412,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=72,B2103 - Communication difficulties peer victimization and mental health - 31/10/2013,https://proposals.epi.bristol.ac.uk/?q=node/125998,B2103 - Communication difficulties peer victimization and mental health - 31/10/2013,B2103,"Dr Jan  McAllister (University of East Anglia, UK)","Prof James  Law (Newcastle University, UK), Prof Susan  Roulstone (University of the West of England (UWE), Bristol), Dr Jane  Skinner (Newcastle University, UK)","Communication difficulties, peer victimization and mental health.",AIMS,null,"Monday, 28 October, 2013","Thursday, 31 October, 2013",Mental Health
1616720503-246,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=129,B220 - Antibiotic resistance and pet ownership - 01/02/2005,https://proposals.epi.bristol.ac.uk/?q=node/127172,B220 - Antibiotic resistance and pet ownership - 01/02/2005,B220,"T  Humphrey (Not used 0, Not used 0)",,Antibiotic resistance and pet ownership.,(No outline received).,null,"Tuesday, 1 February, 2005","Tuesday, 1 February, 2005","Drugs, Pets"
